x,y,class
2334,245,subject
725,246,subject
1593,246,subject
1737,246,subject
1896,246,subject
2031,246,subject
384,247,subject
1651,247,subject
2064,247,subject
2375,248,subject
481,249,subject
980,249,subject
1514,249,subject
1762,249,subject
2154,249,subject
1153,250,subject
2414,250,subject
1124,251,subject
1692,251,subject
1033,252,subject
621,253,subject
1403,253,subject
2261,254,subject
2436,254,subject
503,255,subject
569,255,subject
1631,255,subject
117,256,subject
332,256,subject
1705,256,subject
2097,256,subject
1443,257,subject
550,258,subject
944,259,subject
1861,259,subject
1954,259,subject
1579,260,subject
1792,260,subject
1930,260,subject
345,261,subject
1608,261,subject
1881,261,subject
2311,261,subject
1551,262,subject
1835,262,subject
75,263,subject
2345,263,subject
213,264,subject
1372,264,subject
1488,265,subject
441,266,subject
464,266,subject
906,266,subject
2288,266,subject
1904,269,subject
2025,269,subject
252,270,subject
429,270,subject
908,270,subject
1662,270,subject
2000,270,subject
2012,271,subject
2411,271,subject
482,272,subject
564,272,subject
2382,272,subject
535,274,subject
2043,274,subject
1470,275,subject
1753,275,subject
2079,275,subject
2096,275,subject
2301,275,subject
409,276,subject
512,276,subject
2277,276,subject
1544,277,subject
1698,277,subject
1859,277,subject
1996,277,subject
990,278,subject
1432,278,subject
1515,278,subject
1325,279,subject
1619,279,subject
1890,279,subject
1679,280,subject
1719,280,subject
1806,280,subject
381,281,subject
1590,281,subject
2128,281,subject
2335,281,subject
2351,281,subject
38,282,subject
2407,282,subject
262,283,subject
1560,283,subject
1741,283,subject
1407,284,subject
268,285,subject
1953,285,subject
2063,286,subject
2486,286,subject
340,287,subject
2010,288,subject
2455,288,subject
1659,289,subject
2169,289,subject
1457,290,subject
1797,291,subject
284,292,subject
1759,292,subject
1932,292,subject
501,293,subject
1707,293,subject
1776,293,subject
1379,294,subject
526,295,subject
192,296,subject
1641,296,subject
1878,296,subject
2284,296,subject
241,297,subject
1531,297,subject
1721,297,subject
1507,298,subject
2388,299,subject
1592,300,subject
1981,300,subject
357,301,subject
1740,301,subject
1856,301,subject
2469,302,subject
1571,303,subject
1615,303,subject
1909,303,subject
2210,303,subject
405,304,subject
1415,304,subject
1444,305,subject
2361,305,subject
1767,306,subject
383,308,subject
548,308,subject
2337,308,subject
1683,310,subject
1378,311,subject
1704,311,subject
2064,312,subject
1669,313,subject
700,314,subject
2477,314,subject
1295,315,subject
1430,315,subject
423,316,subject
1636,316,subject
