cell1,cell2,cell1_x,cell1_y,cell2_x,cell2_y,distance,morphology,match_score
1e0621a9b6f0436cb2080b1975974300,33543b33fd1f4fe8a42e74a5c8fc861f,2199.17333984375,997.35595703125,2201.5,1007.5,10.40744710457505,0.7643506834860311,0.8685950969357882
3c63435c3e6054fca72d486b9163f3dd,37113393b3ea0ea2244ad08017115024,745.236083984375,369.5273132324219,736,366,9.886717655827278,0.7541676466181205,0.8685777743264437
91ef0e7b38663b5559a2ed52433aeee9,c53ee521bfb5d5f9678bed5a0dbacc8e,2457.10888671875,396.5428771972656,2457,396,0.5536894154949342,0.5725533640943692,0.8685361543045903
df48a374df33157af749d7436a986ccf,e8f0f1a365ab61ce2e0f9949a6679a30,780.3291015625,1080.40380859375,778,1081.5,2.5741697083868216,0.6116311623780435,0.8684733587478233
ff8f2524483c206c75fa114094141d6f,9786448fd3c0e496e06b0267b7a8b24e,2422.8037109375,111.90941619873047,2428.5,113,5.799748452402796,0.6742928095739564,0.8684559768998372
d4eb7cfa144c546078fa1a8a18dbe488,14e7a232380e80c4795dabadb2f1b3e2,714.01806640625,646.1709594726562,706.5,645.5,7.5479473436644975,0.7082499710934054,0.8684452984899786
20a7a373a7d7ab0b2226ac93a5c8c571,c0ec057fefbe7ebeb1c89abe523f637e,505.5196838378906,426.4897766113281,497,423,9.206712415112548,0.7402136291632857,0.8683582663274958
5e97da4a34f7f65ecea3155d58227785,77a1cdef510b60fbff93ebf661ac0a5c,1356.29296875,1019.2822875976562,1353.5,1014,5.975218548541099,0.6767733226416978,0.868176555259353
104fb6a547a8b50fb9c460309f2b8c9d,e84337885fd40c6e11d8240af8b354c2,749.7058715820312,485.087646484375,742,483,7.9836535923397935,0.7157043834011447,0.8681400023983612
e4675c97c596ad657d896d12a92b1a4c,bf26ada5845de88829c429601470add5,109.92151641845703,810.9015502929688,105.5,815,6.02885540046779,0.6772601161358496,0.8680097116713594
49eb01cf1acb4b223b7b9a96206de5b8,f24ce46f8cf3b8b3209270576b19ecf3,1143.857666015625,265.1908264160156,1134,260.5,10.916841655936851,0.7722497344338077,0.8679933440038441
d81ad8063f76f13fc9773a2db2bbb139,396cc8f1c31c34fc183dfe39010d9816,345.1195068359375,415.8020324707031,337,415.5,8.125122452750778,0.7176579341837724,0.8679008326140853
f2514df3467c2ba25872ddee7b606264,9fe9c1a50ab938ce1c52e89445c1abfd,278.01708984375,930.546142578125,275,936,6.232767595811705,0.6805017622417632,0.8677927176969606
b3ce5e360e95ed782f1af9d9b0c59ce9,d72da56d8c5d566c04e95bff220cf770,362.064697265625,774.7450561523438,358,775.5,4.134211421092706,0.6393488461168515,0.8676884205453479
f5032403e1aa7702f0c2b9cfd95110ce,1c338f0f598feb1fd7c000131182b645,892.7272338867188,33.51157760620117,893.5,36.5,3.086719272884097,0.6189598869276219,0.8676821036531293
af8cb0b784dd2f0cc3fb9d3f12081edb,4d0a703787d27522e14f6cb51c1e5fa1,453.2052001953125,643.9639282226562,447,645.5,6.392497631525433,0.683131510964562,0.8676498837721369
b537406343eacce3947a256957869204,fcefdf4eae689081e37ca6e97618abb3,272.88775634765625,822.9646606445312,269,826.5,5.254833372911805,0.6606475743857575,0.8675410776404083
32ee2f234d6e1c4681600aa8107f4fb5,ec8bf0643cc2a3d6b85841ab514c7bc0,2087.9140625,1045.075927734375,2081,1043.5,7.091389742348009,0.6963292082713478,0.8675323223177076
fef69f5307a906bd0462b0552a749829,f101ab153fe4ffe331dcd6c32a10d588,210.0579376220703,667.7928466796875,205,670.5,5.736846876850843,0.6698006153470624,0.8674752444891554
128ecaa994a50a7268f0cb0cdd9d4dcb,dbffb073af39e9795cfb11ed269030a0,1532.0877685546875,1014.8711547851562,1527,1018,5.972860390509522,0.6739808129625978,0.8673525582774738
670ecbd386b1ad71b7afb61e51c21837,dd35303e420997196c190bb86df1fffe,2246.98193359375,1036.447265625,2243,1028,9.338741440062543,0.7393866021054901,0.8673399888979487
5ec8592fa7a072248ded62613a8f747f,8cdc3d8851513e1f13490dcfce1297a6,1463.6156005859375,157.4377899169922,1461,161.5,4.831450836306516,0.6516088978473888,0.8672992061424286
37864fcbdec62b4381a7ed8872096bed,52c071d540f0185bc638912fa6214adb,2453.26953125,27.571962356567383,2455,17.5,10.21953755347261,0.7563659617742992,0.867295819470366
9ba9f356a399c6a064a525d4cefb4270,d680060188e9df96fc20ed19360ed074,2009.447509765625,1085.859375,2004.5,1078.5,8.8678212246064,0.7300310630931454,0.8672803617844063
486efd72f8f5c68a822625a84e83ffd8,31f6c64ff4190066edef5bf33e05b11e,2311.293701171875,934.6923828125,2306.5,926.5,9.491823169011376,0.7420952818511469,0.8672596160694444
d647ff111bb244613198a01835f0e4b2,d8d62a199baa6e74d45b006868844c53,867.1249389648438,941.8684692382812,865.5,942,1.6302536553388838,0.5883537292476413,0.8669963057848155
64e96dc4d409d123c750a558715a088c,386a865b55c150798781f5dbd758c54e,46.18074417114258,576.2781982421875,40.5,579,6.2991316184694535,0.6790560943041106,0.8669718938501614
92f57e0d2710e36c768cf67b193eb6a0,a6377117a3fb029f3479d3503f9a838d,215.82723999023438,79.28961181640625,211,77.5,5.148296453851395,0.6566602190520522,0.8669663364014825
b91cbe8bdef1c4c9c152df094cd81478,712e5fd031862e67fc74661d118b9450,2301.582763671875,639.0186767578125,2302.5,642,3.1192323985300647,0.6165917470160792,0.8667820017800649
fe88935ff3be560956df5989fb7a88e0,aa662d8c1c8e9d6d343431b959f1f722,2375.80908203125,849.3237915039062,2377.5,850.5,2.0597742602830893,0.5957985138404143,0.8667242043004728
c19a0d3a563546986f1553a18c838f9b,47b19697fe367ee661714a63037e1cba,1930.191162109375,245.8020477294922,1932,245.5,1.8338831329864194,0.5911905912019257,0.8666595257514902
22de99eef5982ff25c76184ba32bd1cd,f1d640461dc88dbae527be062c68990c,141.7791748046875,117.88735961914062,140,120,2.762012375872427,0.6090273527399658,0.866596466962734
cbc8e7cb38eb254d23c72e113eb3b95c,0a7115a67231d55b537db29fa772f91a,2321.491455078125,763.82275390625,2311.5,760.5,10.529476155046341,0.7600481351444629,0.8665924963055684
45b899e3e50c4773a4063a161294d374,bfa01fd1c57192d0653d903101126024,933.0083618164062,72.44383239746094,928.5,72.5,4.508711685970267,0.6426904827451093,0.8665063266553729
ca1918e9dd473a73ddd7c47f2d9cb560,e9621d62c9cc92cf62bed9ac212a3057,1078.90283203125,736.614501953125,1072.5,733,7.352610583292538,0.6979734399974662,0.8665018035966999
c10cce7e166c49f1fac0f542082fef32,d31392139cf2592eff919c7614b9fd04,528.5282592773438,285.35174560546875,518.5,286.5,10.093783843940354,0.7510290824162225,0.866428318968548
7a600400624a2dadcd0c30a4f803d3ca,024f926c31f36146d29e8047ae3a2d53,289.3304748535156,16.371740341186523,292,7.5,9.26467167195626,0.7349001576464995,0.8664261292075383
7c7eca5dcd0f4da2c4916c7bab4455eb,615311d0afca661a8b7e3ee4c7ddfcbf,1290.9285888671875,572.08935546875,1283,566,9.997138162978699,0.7489933216749138,0.8663813572184317
b575dbfd34ae99e1b9034a3eae88ed36,d90772370a90d3d8fad8148778bdf915,1896.3475341796875,1149.0635986328125,1893,1143,6.926269808780313,0.6892478743031991,0.8663711217397412
54e8d309c753364b3f0e6beab3623640,5ec0e6f654a5b663ab45c63f6f555388,447.1009216308594,455.4432373046875,442.5,454.5,4.696613297501066,0.6457965494322473,0.8663420539275846
8eced23bf70fd2261daa56d0fb33bf18,30440cd7efb617c45f6a3eff69333727,1015.2277221679688,526.82958984375,1005.5,524,10.130901108047782,0.7514560741296684,0.8663398991086217
51e608ff79e3b6dd9bc5aef9fe9b8fbe,530a05db85814e53fce6bab4e2a2d2ce,2004.5714111328125,1089.05908203125,2000.5,1081.5,8.58580862630633,0.7213108886039541,0.8663093829277325
91ad1f67c2a519cd428e30c0bc0255b6,a0fe34469b53ab84d22ad2dbaf9bbc29,2327.601806640625,462.9676208496094,2320.5,468.5,9.00238171955079,0.7291622495122525,0.8662347814896295
e287e4e66043175dac2432a77771b11e,0b71003fed3190ba9b74f33e12ec6996,941.3135986328125,79.02671813964844,942.5,78.5,1.2980678729169288,0.5793039298203327,0.8662191163540844
ff3ab0840b5e40596e8ed5cba343524f,66303f601b3294535e9066c841108f14,358.6670837402344,474.31658935546875,354,475,4.7168549635767585,0.6455373089921116,0.8661462054101023
50582e5e77bde5a3c4dd7d72981e41c3,dea2c5f3b3664da0ff40a7137e970bfa,1874.0216064453125,595.108642578125,1872.5,605,10.007708919712753,0.748121087363401,0.8660580241773626
b990b8c23372bdd4917b8699df5de5e2,8e32f6c3dae80e6869cd9b51d8113fb3,1495.21337890625,402.4465026855469,1489.5,408,7.9676866748147495,0.7080151077928785,0.8659263600681107
a8c21f292f6aaec7d735a42f04e09bde,19c1eb177dd99d36eb50a925cfadfbab,2286.17236328125,443.96002197265625,2288,447,3.547072367806451,0.6217640311329835,0.865837953861024
18b71efd0765622244fc4e4ef3160702,a3912fcabc3b5b390bc576da32d8f127,2229.232421875,600.5319213867188,2230,608.5,8.00496427008944,0.7082677348745174,0.8657846955535001
4a74226f60f4c46722a63de165292222,cd5e810200e1ef2ebd5f9d01a60fde41,1760.7789306640625,1027.9593505859375,1756.5,1022,7.336423313438774,0.6952478271990478,0.865778545497988
7dfc95a95eae12598706b7ae8dfcf732,c79cd765d309b7133a24c727929834ee,2264.246826171875,260.6207580566406,2267.5,262,3.533475384705434,0.6212585877851272,0.8657656365914231
4589147bbf6f64f4bc4ba5ef0efb83d8,5909e737fc55af19834a78362d35ecd0,1556.65771484375,397.20501708984375,1565,397,8.344803990227517,0.7146533761405148,0.8657179895658272
6516e1cb02bfbd933dc8297f7aa524ac,7ba401fc2ff83658f58bf992a1c8affe,1061.8494873046875,783.0879516601562,1056,780.5,6.396404890483851,0.6767378127317067,0.8657089819583561
ab7dcc67d0163f8a823f59f7375c418c,62574c1e2b4197262675a5a7703a3a93,2023.8704833984375,605.2762451171875,2034,608,10.489325395037339,0.7560749536482372,0.86563475462342
ace12a3a3f616bd1bc5876d760d95061,0b60b1ec310a76d5dde8bd1a534c49fb,998.52490234375,418.2770080566406,994,420,4.841842878218536,0.6462279290671424,0.8656242952638679
3b66bccd2355d68dd45e88f4934e4dc6,623834f970711fd870e7f108c0885e57,1008.26318359375,936.0316162109375,998.5,933,10.223035299542314,0.7504280576510542,0.8654940447146527
4c3b3e51bef504b8e91ae461d081d6a0,911ab6547f5414b5da0f5ec21e4fa533,918.9757690429688,503.82342529296875,910.5,500,9.298238641842904,0.732299509737627,0.8654501275105377
46fb2af112324d5ab0c18036c373e48e,48c379d095d3a327d4ea4a677c2848a2,1659.7725830078125,358.2965393066406,1669.5,360.5,9.973859852989609,0.7449048316049489,0.8652906003390453
216a517e864238e40e4b8201340af624,2c39a8bf8c8276d9f8c6254207ee14f2,1380.8465576171875,39.92607879638672,1386.5,40.5,5.68249912659365,0.661284404669864,0.8652374098291629
4cd7451b1d43822f88451eba6c68f69b,33c6cc7ced49ff4f7f447d818288530a,1189.760498046875,1157.4212646484375,1187.5,1156.5,2.441020272833956,0.5977496873154757,0.865085621269778
7df716d5bc9708d737eed2341cd65331,9f3d8ade58da4446563108a28cbabeda,1343.0733642578125,222.46656799316406,1341.5,221.5,1.8465450910202768,0.5861581661867024,0.8650759368250591
f280beb7755415a9b0d509047e50f6e0,79874523f4ae64eb02f7ccfa145db3a9,566.0345458984375,236.46995544433594,561.5,232.5,6.0268277505706855,0.667405498066753,0.8650651542083635
5670a4123d707490f5aa6576b88db135,b1fcffc526e4ac3912c73f8d8766356f,2159.809814453125,700.0319213867188,2165.5,703.5,6.663766264340605,0.679423923514743,0.8649552071791026
1047b506b2058bc52dfd044a60d168f1,f274326071a4abf56764d750ed0a9126,1845.4532470703125,140.7993927001953,1853,139.5,7.6578000216163735,0.698444575972569,0.8648628726656751
