,tile_id,x,y,physical_x,physical_y,area,ratio,size,r1,r2,theta,weight,density,mean_distance,moran-I,p-value
43d584d545e8222f41d71659cb711cae,NULL,1401,835,1401,835,7.249968762527151,0.5477633476257324,8,2.0525636672973633,1.1243191957473755,0.22679884731769562,0.2465686274509804,0.03125,0,-1.0000000000000002,1
a71c2347300579bca14a6634b10ac1cd,NULL,1152.5,836,1152.5,836,10.602875599373728,0.3287671208381653,7,3.2040014266967773,1.0533703565597534,2.7828218936920166,0.2420168067226891,0.0625,3.400367627183861,-0.9999999999999998,1
379593bf6edf4a87de4f9de2c138ea12,NULL,869,846.5,869,846.5,464.2176652513694,0.40566661953926086,162,19.085399627685547,7.7423095703125,0.7472729682922363,0.2212781408859837,0.03125,0,-1.0000000000000002,1
e45a881e82bd2b8c0a6a68c5fc51d158,NULL,981,840.5,981,840.5,221.33805601366734,0.35735252499580383,87,14.041214942932129,5.017663478851318,3.0649542808532715,0.21086319585305352,0.03125,0,-1.0000000000000002,1
ecf1c0e53047678ba590dea29fab1507,NULL,1158,840,1158,840,150.8187995164573,0.32537683844566345,34,12.146733283996582,3.952265501022339,2.9860005378723145,0.23483275663206465,0.09375,5.5751506250024425,-0.2868216524566118,1
adb27f5f2ab3460cebc401569e46554d,NULL,1449.5,840,1449.5,840,145.4915719295289,0.3749731183052063,74,11.113322257995605,4.167197227478027,2.9986636638641357,0.19676735559088482,0.0625,4.7762432936357,-1,1
336b8de734f38ca3f5eafdb17f2dfbcb,NULL,1507,840,1507,840,45.12847949449527,0.1852644979953766,19,8.805505752563477,1.63134765625,0.8211337327957153,0.24024767801857588,0.0625,3.905124837953327,-1,1
56fb7758f798149cea7a1d41f17d29f8,NULL,1585.5,841.5,1585.5,841.5,314.5410008949252,0.2692855894565582,130,19.282224655151367,5.19242525100708,0.171302929520607,0.21725490196078384,0.03125,0,-1.0000000000000002,1
f0cfcc5e3636cc1f2ac6abf9d4157b57,NULL,2173.5,837,2173.5,837,17.849781511475864,0.2264387458562851,10,5.009174346923828,1.1342711448669434,3.0810606479644775,0.243921568627451,0.125,5.609453718199164,-0.3132984017204556,0.848587654168399
7b69a27f4798abe44884c2e00f5e4bce,NULL,2404,840.5,2404,840.5,221.7272514799707,0.33862289786338806,80,14.436983108520508,4.888692855834961,2.894925832748413,0.22151960784313696,0.03125,0,-1.0000000000000002,1
